x,y,z,qw,qx,qy,qz
0.37153991,-0.32847001,0.24584852,0.50571156,-0.49889639,0.49545471,0.49988283
0.37153864,-0.3284689,0.24585006,0.50571398,-0.49889283,0.49545226,0.49988636
0.37153737,-0.32846772,0.24585159,0.5057164,-0.49888927,0.4954498,0.4998899
0.3715361,-0.32846645,0.24585314,0.50571882,-0.49888569,0.49544734,0.49989346
0.37153482,-0.3284651,0.24585468,0.50572126,-0.4988821,0.49544487,0.49989703
0.37153355,-0.32846367,0.24585623,0.5057237,-0.49887851,0.49544239,0.4999006
0.37153227,-0.32846216,0.24585779,0.50572614,-0.4988749,0.49543991,0.49990419
0.37153098,-0.32846056,0.24585934,0.50572859,-0.49887128,0.49543742,0.4999078
0.3715297,-0.32845888,0.24586091,0.50573105,-0.49886765,0.49543493,0.49991141
0.37152841,-0.32845712,0.24586247,0.50573351,-0.498864,0.49543242,0.49991503
0.37152712,-0.32845527,0.24586404,0.50573598,-0.49886035,0.49542992,0.49991866
0.37152583,-0.32845333,0.24586562,0.50573845,-0.49885669,0.4954274,0.49992231
0.37152453,-0.32845131,0.2458672,0.50574093,-0.49885301,0.49542488,0.49992597
0.37152324,-0.3284492,0.24586878,0.50574341,-0.49884933,0.49542235,0.49992963
0.37152194,-0.328447,0.24587037,0.5057459,-0.49884563,0.49541982,0.49993331
0.37152064,-0.32844472,0.24587196,0.5057484,-0.49884193,0.49541728,0.499937
0.37151934,-0.32844234,0.24587356,0.5057509,-0.49883821,0.49541474,0.4999407
0.37151803,-0.32843988,0.24587516,0.50575341,-0.49883449,0.49541218,0.49994441
0.37151673,-0.32843733,0.24587676,0.50575592,-0.49883075,0.49540963,0.49994814
0.37151542,-0.32843468,0.24587837,0.50575844,-0.498827,0.49540706,0.49995187
0.37151411,-0.32843195,0.24587998,0.50576096,-0.49882324,0.49540449,0.49995561
0.37151281,-0.32842912,0.24588159,0.50576349,-0.49881947,0.49540192,0.49995937
0.3715115,-0.3284262,0.24588321,0.50576602,-0.4988157,0.49539933,0.49996313
0.37151019,-0.32842319,0.24588484,0.50576856,-0.49881191,0.49539675,0.49996691
